schema_version	query_id	query_class	profile	threads	candidate_limit	cache_block_bytes	repeat	status	exit_code	wall_seconds	user_seconds	system_seconds	peak_rss_kib	candidate_count	alignment_count	output_bytes	archive_count	archive_size_bytes	archive_build_wall_seconds	archive_build_cpu_seconds	metadata_requests	head_requests	get_requests	range_requests	stream_requests	requested_bytes	returned_bytes	decoded_bytes	remote_bytes	cache_bytes	cache_hits	cache_misses	cache_evictions	stale_cache_rejections	retries	full_object_fallbacks	seed_buckets_read	sequence_blocks_read	seed_count_proxy	bucket_count_proxy	anchor_count_proxy	chain_count_proxy	sequence_count_proxy	alignment_count_proxy	output_bytes_proxy	thread_count_proxy
1.0.0	J01749.1__q2000	small	balanced	1	1	1048576	1	complete	0	0.03167059599945787	0.018695	0.012364	40576	1	1	6272	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6272	1
1.0.0	J01749.1__q2000	small	balanced	1	100	16384	1	complete	0	0.028280018996156286	0.020235	0.006901	34088	1	1	6274	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6274	1
1.0.0	J01749.1__q2000	small	balanced	1	100	65536	1	complete	0	0.02646148000349058	0.018673	0.006987999999999999	33644	1	1	6274	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6274	1
1.0.0	J01749.1__q2000	small	balanced	1	100	262144	1	complete	0	0.02786495200416539	0.018043	0.008936999999999999	34740	1	1	6277	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6277	1
1.0.0	J01749.1__q2000	small	balanced	1	100	1048576	1	complete	0	0.03462136799498694	0.019141	0.01444	40600	1	1	6278	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6278	1
1.0.0	J01749.1__q2000	small	balanced	4	1	16384	1	complete	0	0.03083748400240438	0.021727999999999997	0.010343	58196	1	1	6268	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6268	4
1.0.0	J01749.1__q2000	small	balanced	4	1	65536	1	complete	0	0.030658547999337316	0.021159	0.01096	57960	1	1	6268	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6268	4
1.0.0	J01749.1__q2000	small	balanced	4	1	262144	1	complete	0	0.0286670149944257	0.018479	0.012138	58588	1	1	6271	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6271	4
1.0.0	J01749.1__q2000	small	balanced	4	1	1048576	1	complete	0	0.031796982999367174	0.016994	0.016819999999999998	67552	1	1	6272	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6272	4
1.0.0	J01749.1__q2000	small	balanced	4	100	16384	1	complete	0	0.026910360997135285	0.018685999999999998	0.009266	58620	1	1	6274	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6274	4
1.0.0	J01749.1__q2000	small	balanced	4	100	65536	1	complete	0	0.03099017000204185	0.022359	0.010294	58320	1	1	6274	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6274	4
1.0.0	J01749.1__q2000	small	balanced	4	100	262144	1	complete	0	0.02897440199740231	0.020916	0.00945	60712	1	1	6277	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6277	4
1.0.0	J01749.1__q2000	small	balanced	4	100	1048576	1	complete	0	0.031680164000135846	0.017828	0.015867	67512	1	1	6278	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6278	4
